Dayahead Market MCPs.

01/01/2012,,All Hours-Ending are Eastern Standard Time (EST)

,,MCP Type, HE 1,HE 2,HE 3,HE 4,HE 5,HE 6,HE 7,HE 8,HE 9,HE 10,HE 11,HE 12,HE 13,HE 14,HE 15,HE 16,HE 17,HE 18,HE 19,HE 20,HE 21,HE 22,HE 23,HE 24
WEC.MANSTQN1,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WEC.OAKCREKC5,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WEC.OKCGC6,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WEC.OKCGC7,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WEC.OKCGC8,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WEC.PARIS01S1,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WEC.PARIS01S2,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WEC.PARIS01S3,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WEC.PARIS01S4,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WEC.PLEASA142,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WEC.PLPRG41,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WEC.PORTWA1CT1,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WEC.PORTWA1CT2,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WEC.PORTWA1ST0,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WEC.PORTWCT1,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WEC.PORTWCT2,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WEC.PORTWST1,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WEC.PSQIGI5,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WEC.PSQIGI6,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WEC.PSQIGI7,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WEC.PSQIGI8,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WEC.PSQIGI9,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WEC.PTBEACB5,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WEC.PTBHGB1,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WEC.PTBHGB2,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WEC.UNIVEV130,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WEC.VALLYGA1,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WEC.VALLYGA2,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WEC.WP_MIWPIN1,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WEC.WP_MIWPIN2,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WEC.WP_MIWPIN3,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WPS.ALTE_FORWD,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WPS.CASTLERC1,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WPS.COLUMBIA1,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WPS.COLUMBIA2,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WPS.CUSTEGEN1,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WPS.DEPERE,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WPS.DPC.WESTN4,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WPS.EDGWTR41,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WPS.GRFATHER,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WPS.JUNEAUC31,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WPS.KAU_CBLGT,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WPS.KEWAUKEWA,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WPS.LAKEFRN92,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WPS.LAKEFRN94,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WPS.LAKEFRN95,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WPS.LAKEFRN96,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WPS.LAKEFRN99,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WPS.MEWD_M1,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WPS.MGE_FORWD,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WPS.PETENWELL,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WPS.PULLIAM31,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WPS.PULLIAM5,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WPS.PULLIAM6,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WPS.PULLIAM7,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WPS.PULLIAM8,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WPS.WEM31,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WPS.WEM32,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WPS.WEM33,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WPS.WESTON1,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WPS.WESTON2,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WPS.WESTON3,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WPS.WESTON31,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WPS.WESTON32,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WPS.WESTON4,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WPS.WPPI_FORWD,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WPS.WPS_FORWD,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
WPS.WRHYD,Zone 5,GENREGMCP,13.46,13.12,15.59,18.06,17.64,13.64,14.24,8.98,5.6,6.12,7.21,7.31,6.96,6.61,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,8.5,6.87
ALTW.ADAMSADAM,Zone 6,GENREGMCP,13.34,13.09,15.55,18.06,17.61,17.69,14.15,13.42,10.04,6.07,6.84,6.94,6.58,6.27,6.72,5.62,5.92,8.8,7.95,5.54,6.96,6.9,9.81,6.78
ALTW.BART1NIPS,Zone 6,GENREGMCP,13.34,13.09,15.55,18.06,17.61,17.69,14.15,13.42,10.04,6.07,6.84,6.94,6.58,6.27,6.72,5.62,5.92,8.8,7.95,5.54,6.96,6.9,9.81,6.78
ALTW.BART1WPPI,Zone 6,GENREGMCP,13.34,13.09,15.55,18.06,17.61,17.69,14.15,13.42,10.04,6.07,6.84,6.94,6.58,6.27,6.72,5.62,5.92,8.8,7.95,5.54,6.96,6.9,9.81,6.78
ALTW.BARTON2,Zone 6,GENREGMCP,13.34,13.09,15.55,18.06,17.61,17.69,14.15,13.42,10.04,6.07,6.84,6.94,6.58,6.27,6.72,5.62,5.92,8.8,7.95,5.54,6.96,6.9,9.81,6.78
ALTW.BENT_TREE,Zone 6,GENREGMCP,13.34,13.09,15.55,18.06,17.61,17.69,14.15,13.42,10.04,6.07,6.84,6.94,6.58,6.27,6.72,5.62,5.92,8.8,7.95,5.54,6.96,6.9,9.81,6.78
ALTW.BROOKE1,Zone 6,GENREGMCP,13.34,13.09,15.55,18.06,17.61,17.69,14.15,13.42,10.04,6.07,6.84,6.94,6.58,6.27,6.72,5.62,5.92,8.8,7.95,5.54,6.96,6.9,9.81,6.78
ALTW.CC.EMERY1,Zone 6,GENREGMCP,13.34,13.09,15.55,18.06,17.61,17.69,14.15,13.42,10.04,6.07,6.84,6.94,6.58,6.27,6.72,5.62,5.92,8.8,7.95,5.54,6.96,6.9,9.81,6.78
ALTW.CC.EMERY2,Zone 6,GENREGMCP,13.34,13.09,15.55,18.06,17.61,17.69,14.15,13.42,10.04,6.07,6.84,6.94,6.58,6.27,6.72,5.62,5.92,8.8,7.95,5.54,6.96,6.9,9.81,6.78
ALTW.CERROG1,Zone 6,GENREGMCP,13.34,13.09,15.55,18.06,17.61,17.69,14.15,13.42,10.04,6.07,6.84,6.94,6.58,6.27,6.72,5.62,5.92,8.8,7.95,5.54,6.96,6.9,9.81,6.78
ALTW.CRLK2WPL,Zone 6,GENREGMCP,13.34,13.09,15.55,18.06,17.61,17.69,14.15,13.42,10.04,6.07,6.84,6.94,6.58,6.27,6.72,5.62,5.92,8.8,7.95,5.54,6.96,6.9,9.81,6.78
ALTW.CRLKCWLP,Zone 6,GENREGMCP,13.34,13.09,15.55,18.06,17.61,17.69,14.15,13.42,10.04,6.07,6.84,6.94,6.58,6.27,6.72,5.62,5.92,8.8,7.95,5.54,6.96,6.9,9.81,6.78
ALTW.CRLKIMPA,Zone 6,GENREGMCP,13.34,13.09,15.55,18.06,17.61,17.69,14.15,13.42,10.04,6.07,6.84,6.94,6.58,6.27,6.72,5.62,5.92,8.8,7.95,5.54,6.96,6.9,9.81,6.78
ALTW.CRYLAKE2,Zone 6,GENREGMCP,13.34,13.09,15.55,18.06,17.61,17.69,14.15,13.42,10.04,6.07,6.84,6.94,6.58,6.27,6.72,5.62,5.92,8.8,7.95,5.54,6.96,6.9,9.81,6.78
ALTW.CRYSTAL3,Zone 6,GENREGMCP,13.34,13.09,15.55,18.06,17.61,17.69,14.15,13.42,10.04,6.07,6.84,6.94,6.58,6.27,6.72,5.62,5.92,8.8,7.95,5.54,6.96,6.9,9.81,6.78
ALTW.ELKWIND,Zone 6,GENREGMCP,13.34,13.09,15.55,18.06,17.61,17.69,14.15,13.42,10.04,6.07,6.84,6.94,6.58,6.27,6.72,5.62,5.92,8.8,7.95,5.54,6.96,6.9,9.81,6.78
ALTW.EMERY31,Zone 6,GENREGMCP,13.34,13.09,15.55,18.06,17.61,17.69,14.15,13.42,10.04,6.07,6.84,6.94,6.58,6.27,6.72,5.62,5.92,8.8,7.95,5.54,6.96,6.9,9.81,6.78
ALTW.EMERY32,Zone 6,GENREGMCP,13.34,13.09,15.55,18.06,17.61,17.69,14.15,13.42,10.04,6.07,6.84,6.94,6.58,6.27,6.72,5.62,5.92,8.8,7.95,5.54,6.96,6.9,9.81,6.78
ALTW.EMERY_1,Zone 6,GENREGMCP,13.34,13.09,15.55,18.06,17.61,17.69,14.15,13.42,10.04,6.07,6.84,6.94,6.58,6.27,6.72,5.62,5.92,8.8,7.95,5.54,6.96,6.9,9.81,6.78
ALTW.EMERY_2,Zone 6,GENREGMCP,13.34,13.09,15.55,18.06,17.61,17.69,14.15,13.42,10.04,6.07,6.84,6.94,6.58,6.27,6.72,5.62,5.92,8.8,7.95,5.54,6.96,6.9,9.81,6.78
ALTW.ENDV,Zone 6,GENREGMCP,13.34,13.09,15.55,18.06,17.61,17.69,14.15,13.42,10.04,6.07,6.84,6.94,6.58,6.27,6.72,5.62,5.92,8.8,7.95,5.54,6.96,6.9,9.81,6.78
ALTW.FAIRMONT1,Zone 6,GENREGMCP,13.34,13.09,15.55,18.06,17.61,17.69,14.15,13.42,10.04,6.07,6.84,6.94,6.58,6.27,6.72,5.62,5.92,8.8,7.95,5.54,6.96,6.9,9.81,6.78
ALTW.FAIR_DSL,Zone 6,GENREGMCP,13.34,13.09,15.55,18.06,17.61,17.69,14.15,13.42,10.04,6.07,6.84,6.94,6.58,6.27,6.72,5.62,5.92,8.8,7.95,5.54,6.96,6.9,9.81,6.78
ALTW.FAIR_ST,Zone 6,GENREGMCP,13.34,13.09,15.55,18.06,17.61,17.69,14.15,13.42,10.04,6.07,6.84,6.94,6.58,6.27,6.72,5.62,5.92,8.8,7.95,5.54,6.96,6.9,9.81,6.78
ALTW.FCLDFCL1,Zone 6,GENREGMCP,13.34,13.09,15.55,18.06,17.61,17.69,14.15,13.42,10.04,6.07,6.84,6.94,6.58,6.27,6.72,5.62,5.92,8.8,7.95,5.54,6.96,6.9,9.81,6.78
ALTW.FOXLK1,Zone 6,GENREGMCP,13.34,13.09,15.55,18.06,17.61,17.69,14.15,13.42,10.04,6.07,6.84,6.94,6.58,6.27,6.72,5.62,5.92,8.8,7.95,5.54,6.96,6.9,9.81,6.78
ALTW.FOXLK3,Zone 6,GENREGMCP,13.34,13.09,15.55,18.06,17.61,17.69,14.15,13.42,10.04,6.07,6.84,6.94,6.58,6.27,6.72,5.62,5.92,8.8,7.95,5.54,6.96,6.9,9.81,6.78
ALTW.HANCCWLP,Zone 6,GENREGMCP,13.34,13.09,15.55,18.06,17.61,17.69,14.15,13.42,10.04,6.07,6.84,6.94,6.58,6.27,6.72,5.62,5.92,8.8,7.95,5.54,6.96,6.9,9.81,6.78
ALTW.HANCOC1,Zone 6,GENREGMCP,13.34,13.09,15.55,18.06,17.61,17.69,14.15,13.42,10.04,6.07,6.84,6.94,6.58,6.27,6.72,5.62,5.92,8.8,7.95,5.54,6.96,6.9,9.81,6.78
ALTW.HANCO_CF,Zone 6,GENREGMCP,13.34,13.09,15.55,18.06,17.61,17.69,14.15,13.42,10.04,6.07,6.84,6.94,6.58,6.27,6.72,5.62,5.92,8.8,7.95,5.54,6.96,6.9,9.81,6.78
ALTW.HANCO_PE,Zone 6,GENREGMCP,13.34,13.09,15.55,18.06,17.61,17.69,14.15,13.42,10.04,6.07,6.84,6.94,6.58,6.27,6.72,5.62,5.92,8.8,7.95,5.54,6.96,6.9,9.81,6.78
ALTW.INDYGEN,Zone 6,GENREGMCP,13.34,13.09,15.55,18.06,17.61,17.69,14.15,13.42,10.04,6.07,6.84,6.94,6.58,6.27,6.72,5.62,5.92,8.8,7.95,5.54,6.96,6.9,9.81,6.78
ALTW.JOUNEAL3,Zone 6,GENREGMCP,13.34,13.09,15.55,18.06,17.61,17.69,14.15,13.42,10.04,6.07,6.84,6.94,6.58,6.27,6.72,5.62,5.92,8.8,7.95,5.54,6.96,6.9,9.81,6.78
ALTW.JOUNEALS4,Zone 6,GENREGMCP,13.34,13.09,15.55,18.06,17.61,17.69,14.15,13.42,10.04,6.07,6.84,6.94,6.58,6.27,6.72,5.62,5.92,8.8,7.95,5.54,6.96,6.9,9.81,6.78
ALTW.LANSIN3,Zone 6,GENREGMCP,13.34,13.09,15.55,18.06,17.61,17.69,14.15,13.42,10.04,6.07,6.84,6.94,6.58,6.27,6.72,5.62,5.92,8.8,7.95,5.54,6.96,6.9,9.81,6.78
ALTW.LANSIN4,Zone 6,GENREGMCP,13.34,13.09,15.55,18.06,17.61,17.69,14.15,13.42,10.04,6.07,6.84,6.94,6.58,6.27,6.72,5.62,5.92,8.8,7.95,5.54,6.96,6.9,9.81,6.78
ALTW.LIMEC1,Zone 6,GENREGMCP,13.34,13.09,15.55,18.06,17.61,17.69,14.15,13.42,10.04,6.07,6.84,6.94,6.58,6.27,6.72,5.62,5.92,8.8,7.95,5.54,6.96,6.9,9.81,6.78
ALTW.LIMEC2,Zone 6,GENREGMCP,13.34,13.09,15.55,18.06,17.61,17.69,14.15,13.42,10.04,6.07,6.84,6.94,6.58,6.27,6.72,5.62,5.92,8.8,7.95,5.54,6.96,6.9,9.81,6.78
ALTW.LKFLD.IPL,Zone 6,GENREGMCP,13.34,13.09,15.55,18.06,17.61,17.69,14.15,13.42,10.04,6.07,6.84,6.94,6.58,6.27,6.72,5.62,5.92,8.8,7.95,5.54,6.96,6.9,9.81,6.78
ALTW.LOSTLAKES,Zone 6,GENREGMCP,13.34,13.09,15.55,18.06,17.61,17.69,14.15,13.42,10.04,6.07,6.84,6.94,6.58,6.27,6.72,5.62,5.92,8.8,7.95,5.54,6.96,6.9,9.81,6.78
ALTW.MMPA.OGWF,Zone 6,GENREGMCP,13.34,13.09,15.55,18.06,17.61,17.69,14.15,13.42,10.04,6.07,6.84,6.94,6.58,6.27,6.72,5.62,5.92,8.8,7.95,5.54,6.96,6.9,9.81,6.78
ALTW.MONTAL1,Zone 6,GENREGMCP,13.34,13.09,15.55,18.06,17.61,17.69,14.15,13.42,10.04,6.07,6.84,6.94,6.58,6.27,6.72,5.62,5.92,8.8,7.95,5.54,6.96,6.9,9.81,6.78
ALTW.ODINWF,Zone 6,GENREGMCP,13.34,13.09,15.55,18.06,17.61,17.69,14.15,13.42,10.04,6.07,6.84,6.94,6.58,6.27,6.72,5.62,5.92,8.8,7.95,5.54,6.96,6.9,9.81,6.78
ALTW.PIONPRAR2,Zone 6,GENREGMCP,13.34,13.09,15.55,18.06,17.61,17.69,14.15,13.42,10.04,6.07,6.84,6.94,6.58,6.27,6.72,5.62,5.92,8.8,7.95,5.54,6.96,6.9,9.81,6.78
ALTW.PIOPRAR1A,Zone 6,GENREGMCP,13.34,13.09,15.55,18.06,17.61,17.69,14.15,13.42,10.04,6.07,6.84,6.94,6.58,6.27,6.72,5.62,5.92,8.8,7.95,5.54,6.96,6.9,9.81,6.78
